route,category,value,unit,classification,provenance,source,model_effect,note
Scrap-EAF,scrap,1.05,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,"Xylia et al. 2018, Energy Efficiency 11(5):1055-1075, Table 2 p.1063 (EAF scrap input per tonne crude steel); corroborated by IEA Iron & Steel Technology Roadmap 2020 Ch.1 notes (metallic input 1.05-1.2 t/t, extract line 1086)",scrap cost term in objective,"PHASE 20: Scrap-EAF scrap intensity PROMOTED to 1.05 t/t FROZEN_EXTERNAL (Xylia et al. 2018, Energy Efficiency 11(5), Table 2 p.1063; corroborated by IEA Roadmap 2020 metallic-input 1.05-1.2 t/t). Uncertainty bounds 1.00-1.15 retained. worldsteel 0.88/0.71 are the BLENDED recycled-EAF route (boundary mismatch, NOT used)"
Scrap-EAF,H2,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,"hydrogen cost term (55 kg/t, V4 p.65)",
Scrap-EAF,emissions,"{'process': 0.0, 'combustion': 0.05}",tCO2/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,process+combustion emissions in CO2 block,no carbon price applied anywhere
Scrap-EAF,lifetime,30,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,IEA Iron & Steel Technology Roadmap (2020),retirement vintage constraint,config lifetime_years=25 (IEA investment cycle) is the model value
Scrap-EAF,availability,0.9,fraction,PROJECT_PROPOSAL,PROJECT_PROPOSAL,Project proposal for physical availability bound; pending external literature verification,ACT <= avail * CAP bound,PROJECT_PROPOSAL — not a Vol.4 fact
Scrap-EAF,commercialization,2024,year,FROZEN_EXTERNAL,FROZEN_EXTERNAL,technology card,route availability start (Gate F overrides),
Scrap-EAF,deployment,2,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,technology card,NCAP lead-time bounds (Mode B deployment),India-specific deployment evidence remains DEFERRED
Scrap-EAF,learning,,fraction,UNKNOWN,UNKNOWN,Deferred until external data audit,"endogenous learning (Step 11, Mode B)",M1 b_elec DEFERRED/NOT_READY (Phase 25B: cost series 15 obs + IEA deployment anchors 13 recorded; 7 technology-compatible pairs < 15; M1 NOT fitted; use_m1_electrolyser_learning=false)
Scrap-EAF,existing_capacity,,Mt,EXTERNAL_PENDING,EXTERNAL_PENDING,EXTERNAL_PENDING (subset of EAF aggregate 36.61 Mt),"SurvivingExisting[i,t] constant — context only; model input stays 0.0 (EXTERNAL_PENDING)","PHASE 24A: route-level production (BOF 62.488 / EAF 31.612 / IF 58.080 Mt FY24-25) and IF capacity (81.92 Mt) CLOSED via JPC (MoS AR 2025-26 Annexure IV/V, Source: JPC). Model existing_capacity_per_route_mt stays 0.0 (loader flag hardcoded False — BASELINE_MILP_SPEC §5); mixed-producer route split (65.381 Mt TSL/JSW/JSPL) + EAF feedstock split remain SUB-GAPS."
Scrap-EAF,vintage,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,india_steel_fleet_register.yaml,retirement timing (per-route vintages unresolved),partial plant-level coverage only; unknown vintages not inferred
Scrap-EAF,retirement,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,lifetime-based (no per-route vintages),CumRET <= CumNCAP(t-lifetime),
Scrap-EAF,policy_availability,,year,EXTERNAL_PENDING,EXTERNAL_PENDING,mode_b_policy.yaml (Gate F),route availability start year (Gate F),NZS Gate-F window shown; CPS window differs where recorded (e.g. H2-DRI-EAF 2035 in CPS vs 2030 in NZS). None = no Gate-F window recorded (available from commercialization year)
